unidad,jugadores,nacimientos,pct_jugadores,pct_nacimientos,esperado,obs_sobre_esp,residuo_estand,tasa,tasa_ic_lo,tasa_ic_hi,departamento,provincia,region,reportable
6056,40.0,170151.84825624328,0.7422527370569679,0.7398689741989783,39.87153901958294,1.0032218716301362,0.0204198388511155,23.508413461228628,16.79475523460288,32.011786837575826,Bahía Blanca,Buenos Aires,Pampeana,True
86049,40.0,172055.9638083895,0.7422527370569679,0.7481486140310485,40.3177288101332,0.9921193772687577,-0.0502272335454218,23.248249647740245,16.608890391973475,31.657517564833263,Capital,Santiago del Estero,NOA,True
50028,35.0,166731.307166019,0.6494711449248469,0.7249954817652172,39.07000651232756,0.895827851704008,-0.6535117561169019,20.991858454722923,14.62159855691957,29.19459350283537,Guaymallén,Mendoza,Cuyo,True
6861,34.0,173667.2833813133,0.6309148264984227,0.7551550930775205,40.69530796594759,0.8354771520208181,-1.053523942259912,19.577665601728658,13.558102554568917,27.357825360165315,Vicente López,Buenos Aires,Pampeana,True
90084,76.0,391657.7127480703,1.410280200408239,1.7030399207397402,91.7768213286646,0.8280957969532877,-1.66105096444484,19.404698931305408,15.288695697145728,24.287874301231994,Capital,Tucumán,NOA,True
6371,48.0,248778.74373514223,0.8907032844683614,1.0817612374838042,58.29611308800221,0.8233825114127338,-1.3558614623176628,19.294252908963287,14.226058984027215,25.581380155967643,General San Martín,Buenos Aires,AMBA,True
6805,31.0,170980.6482993795,0.5752458712191502,0.7434728341864867,40.06575103430977,0.773728164323029,-1.4375984844868903,18.130706783682548,12.318935615603404,25.735091041533057,Tigre,Buenos Aires,AMBA,True
6756,32.0,181490.72500813485,0.5938021896455743,0.789173658203096,42.52856844056485,0.7524353904533869,-1.6208745715549693,17.63175501038176,12.060107374800278,24.89077724351789,San Isidro,Buenos Aires,AMBA,True
6560,32.0,199611.75085995407,0.5938021896455743,0.8679690691599483,46.77485313702962,0.6841282837650855,-2.169751286331794,16.03112034343656,10.96527444751536,22.63115867918742,Moreno,Buenos Aires,AMBA,True
54028,34.0,221472.86214068832,0.6309148264984227,0.9630274428648784,51.8975488959883,0.6551369134627515,-2.496441860230569,15.351768009573044,10.631545624589856,21.452557047383007,Capital,Misiones,NEA,True
6840,32.0,211275.2698726217,0.5938021896455743,0.9186853907038494,49.50795570503044,0.6463607625137412,-2.4997815723605523,15.146117204958662,10.359932955939836,21.38179830827159,Tres de Febrero,Buenos Aires,Pampeana,True
6028,42.0,291623.4421844764,0.7793653739098163,1.2680622586977204,68.33587512122016,0.6146112847094842,-3.206229042095029,14.402134370744948,10.379791660688728,19.46750177325515,Almirante Brown,Buenos Aires,AMBA,True
6427,104.0,741741.3949320226,1.9298571163481169,3.225304048198244,173.81163515740337,0.5983488959517461,-5.382790533428506,14.021059187283344,11.456221385341196,16.98885997950188,La Matanza,Buenos Aires,AMBA,True
58035,30.0,222195.42202034532,0.5566895527927259,0.9661693401903432,52.06686574285761,0.5761821759765772,-3.0730395244206927,13.50162830863952,9.109491922640764,19.27441393949432,Confluencia,Neuquén,Patagonia,True
18021,30.0,241365.816427402,0.5566895527927259,1.049527706204557,56.55904808736357,0.5304191109026568,-3.550197581416641,12.429266266469591,8.385973755943589,17.743550445010563,Capital,Corrientes,NEA,True
22140,34.0,282743.6375299759,0.6309148264984227,1.2294503245451245,66.25507798973675,0.5131682133898744,-3.98726202235539,12.025027440766156,8.327681071895375,16.803770549979575,San Fernando,Chaco,NEA,True
6539,31.0,259132.48379713064,0.5752458712191502,1.126782264979491,60.722296259744766,0.5105208779884554,-3.8359146151426575,11.962992653699583,8.128273102044448,16.980513156234405,Merlo,Buenos Aires,Pampeana,True
