caso,player_qid,nombre,p19_label,prov_nombre,localidad_nombre,tramo,estrato,birth_year
176,Q5935825,Jorge Piñero da Silva,Candelaria,Misiones,Candelaria,10–50k,resto,1987
177,Q62806839,Rodrigo Villagra,Morteros,Córdoba,Morteros,10–50k,resto,2001
178,Q5951808,Juan Pablo Manzoco,Carlos Casares,Buenos Aires,Carlos Casares,10–50k,resto,1982
179,Q6509619,Leandro Chichizola,San Justo,Santa Fe,San Justo,10–50k,resto,1990
180,Q6125529,Sergio Maximiliano Ojeda,Río Cuarto,Córdoba,Río Cuarto,100–500k,resto,1992
181,Q5042797,Carlos Zorrilla,Lanús,Buenos Aires,Lanus,>500k,metropoli,1985
182,Q61755102,Mateo Levato,Pergamino,Buenos Aires,Pergamino,100–500k,resto,1996
183,Q5526892,Gastón Aguirre,Adrogué,Buenos Aires,Almirante Brown,>500k,metropoli,1981
184,Q5981918,Lucas Márquez,Paraná,Entre Ríos,Paraná,100–500k,resto,1988
185,Q16301129,Carlos Llamos,Pasteur (Buenos Aires),Buenos Aires,Pasteur,<10k,resto,1982
186,Q85756858,Diego Silva,Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,>500k,metropoli,1997
187,Q5791307,Cristian Gaitán,Capitán Bermúdez,Santa Fe,Capitán Bermúdez,>500k,metropoli,1990
188,Q115800149,Pío Bonacci,Chepes,La Rioja,Chepes,10–50k,resto,1998
189,Q6055984,Pablo Gabas,Rosario,Santa Fe,Rosario,>500k,metropoli,1982
190,Q106768944,Nicolás Valentini,Junín,Buenos Aires,Juní­n,50–100k,resto,2001
191,Q3616516,Andrés San Martín,Lomas de Zamora,Buenos Aires,Lomas de Zamora,>500k,metropoli,1978
192,Q5934447,Jorge Alejandro Molina,Córdoba,Córdoba,Córdoba,>500k,metropoli,1984
193,Q5927861,Javier Ignacio García,Rosario,Santa Fe,Rosario,>500k,metropoli,1981
194,Q57293205,Ignacio Aliseda,Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,>500k,metropoli,2000
195,Q108137715,Alexis Alvariño,Gregorio de Laferrere,Buenos Aires,La Matanza,>500k,metropoli,2001
196,Q5806410,Diego Montenegro,Bragado,Buenos Aires,Bragado,10–50k,resto,1985
197,Q101070061,Facundo Cáseres,Arteaga,Santa Fe,Arteaga,<10k,resto,2001
198,Q140010910,Marcelo Giménez,Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,>500k,metropoli,1986
199,Q3804957,Iván Bella,Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,>500k,metropoli,1989
200,Q725366,Germán Voboril,Lanús,Buenos Aires,Lanus,>500k,metropoli,1987
201,Q22082565,Daniel Albornós,Deán Funes,Córdoba,Deán Funes,<10k,resto,1978
202,Q19305296,José Lincopán,Bahía Blanca,Buenos Aires,Bahía Blanca,100–500k,resto,1991
203,Q10555650,Mauro dos Santos,Santo Tomé,Corrientes,Santo Tomé,10–50k,resto,1989
204,Q584187,Marcelo Larrondo,Tunuyán,Mendoza,Tunuyán,10–50k,resto,1988
205,Q20015590,Maximiliano Cavallotti,Santa Teresa,Santa Fe,Santa Teresa,<10k,resto,1984
206,Q43306586,Martín Peralta,San Miguel de Tucumán,Tucumán,San Miguel de Tucumán,>500k,metropoli,1997
207,Q5212617,Damián Akerman,Morteros,Córdoba,Morteros,10–50k,resto,1980
208,Q55070243,Lucas Comachi,Santa Fe,Santa Fe,Santa Fe,>500k,metropoli,1994
209,Q20679784,Miguel Ballejo,Calchaquí,Santa Fe,Calchaquí,10–50k,resto,1975
210,Q2461836,José Luis Fernández,Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,>500k,metropoli,1987
211,Q28603540,Cristian Ignacio Paz,Lomas de Zamora,Buenos Aires,Lomas de Zamora,>500k,metropoli,1995
212,Q160206,Hernán Crespo,Florida,Buenos Aires,Vicente López,>500k,metropoli,1975
213,Q652887,Lucio Filomeno,Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,>500k,metropoli,1980
214,Q64668012,Mauro René Gómez,Posadas,Misiones,Posadas,100–500k,resto,1989
215,Q4760135,Andrés Aimar,Río Cuarto,Córdoba,Río Cuarto,100–500k,resto,1981
216,Q56377742,Sebastián Scalise,Mar del Plata,Buenos Aires,Mar del Plata,>500k,metropoli,1979
217,Q40683968,Jose Caspary,Puerto Rico,Misiones,Puerto Rico,10–50k,resto,1986
218,Q123024438,Ariel Fuscaldo,Berazategui,Buenos Aires,Berazategui,>500k,metropoli,1980
219,Q16301365,Martin Género,Villa Mercedes,San Luis,Villa Mercedes,100–500k,resto,1988
