"caso","localidad_encontrada","provincia_encontrada","club_debut_encontrado","fuente_url","encontrado"
"79","Ciudad Autonoma de buenos Aires","Ciudad Autonoma de buenos Aires","Boca Juniors","https://www.bdfa.com.ar/jugadores-BRUNO-GABRIEL-GALVAN-104919.html","1"
"80","Concordia","Entre Rios","San Miguel","https://www.bdfa.com.ar/jugadores-HERNAN-PABLO-GARIN-33778.html","1"
"81","","","","","0"
"82","","","","","0"
"83","Ciudad Autonoma de buenos Aires","Ciudad Autonoma de buenos Aires","Temperley","https://www.bdfa.com.ar/jugadores-ENZO-SALAS-117435.html","1"
"84","Villaguay","Entre Rios","Argentino","https://www.bdfa.com.ar/jugadores-CARLOS-EMANUEL-VILLA-9771.html","1"
"85","","","","","0"
"86","godoy Cruz","Mendoza","Argentinos Juniors","https://www.bdfa.com.ar/jugadores-LEANDRO-IVAN-BARRERA-81744.html","1"
"87","Corrientes","Corrientes","Boca Unidos","-","1"
"88","","","","","0"
"89","Escobar","Buenos Aires","Deportivo Armenio","-","1"
"90","Goya","Corrientes","Chacarita Juniors","-","1"
"91","Laboulaye","Córdoba","Arsenal","-","1"
"92","Berazategui","Buenos Aires","Berazategui","-","1"
"93","","","","","0"
"94","","","","","0"
"95","Salliquelo","Buenos Aires","Banfield","-","1"
"96","Zarate","Buenos Aires","River Plate","-","1"
"97","Ciudad Autónoma de Buenos Aires","Ciudad Autónoma de Buenos Aires","Argentinos Juniors","-","1"
"98","","","","","0"
"99","","","","","0"
"100","Tres Isletas","Chaco","Independiente","-","1"
"101","","","","","0"
"102","Rosario","Santa Fe","San Martín de San Juan","-","1"
"103","Rafaela","Santa Fe","","","1"
"104","Rafael Castillo","Buenos Aires","Huracán","-","1"
"105","Villa Luzuriaga","Buenos Aires","Ferro Carril Oeste","-","1"
"106","Merlo","Buenos Aires","Huracán","-","1"
"107","","","","","0"
"108","","","","","0"
"109","","","","","0"
"110","","","","","0"
"111","Rosario","Santa Fe","San Telmo","-","1"
"112","Moreno","Buenos Aires","Racing Club","-","1"
"113","San Martín","Buenos Aires","Argentinos Juniors","-","1"
"114","Santa Fe","Santa Fe","Unión de Santa Fe","-","1"
"115","Ciudad Autónoma de Buenos Aires","Ciudad Autónoma de Buenos Aires","Deportivo Español","-","1"
"116","","","","","0"
"117","Florentino Ameghino","Buenos Aires","San Lorenzo","-","1"
"118","","","","","0"
"119","Chañar Ladeado","Santa Fe","Gimnasia y Esgrima de La Plata","-","1"
"120","","","","","0"
"121","Ramona","Santa Fe","Gimnasia y Esgrima","-","1"
"122","Egusquiza","Santa Fe","Atlético Rafaela","-","1"
"123","Ensenada","Buenos Aires","Defensores de Cambaceres","-","1"
"124","","Santa Fe","Newells Old Boys","-","1"
"125","La Plata","Buenos Aires","Gimnasia y Esgrima de La Plata","-","1"
"126","Paraná","Entre Rios","Atlético Belgrano","-","1"
"127","Olavarria","Buenos Aires","El Fortin de Olavarria","-","1"
"128","Parana","Entre Rios","Unión de Santa Fe","-","1"
"129","Pilar","Buenos Aires","Rivadavia Lincoln","-","1"
"130","","","","","0"
"131","Zapala","Neuquén","Ferro Carril Oeste","-","1"
"132","Rafaela","Santa Fe","Atlético Rafaela","-","1"
"133","Roque Saenz Peña","Buenos Aires","Velez Sarsfield","-","1"
